OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area,COUNTY_NAME,PREFERRED_CITY
167,98392,98392,35,Standard,43995.60577,51250366.07,Kitsap County,SUQUAMISH
168,98394,98394,53,Standard,79405.89371,133404688.2,Pierce County,VAUGHN
169,98396,98396,53,Standard,735525.4831,12041118451,Pierce County,WILKESON
170,98397,98397,53,Standard,428882.207,8546367831,Pierce County,LONGMIRE
171,98402,98402,53,Standard,30734.17586,26122235.47,Pierce County,TACOMA
172,98403,98403,53,Standard,23495.03335,28909375.68,Pierce County,TACOMA
173,98404,98404,53,Standard,61572.15325,216064462.5,Pierce County,TACOMA
174,98405,98405,53,Standard,50261.10013,119311831.3,Pierce County,TACOMA
175,98406,98406,53,Standard,74118.97122,108837257.1,Pierce County,TACOMA
176,98407,98407,53,Standard,71745.44847,155761059.4,Pierce County,TACOMA
177,98408,98408,53,Standard,40949.9217,95930078.08,Pierce County,TACOMA
178,98409,98409,53,Standard,74004.17993,203658771.4,Pierce County,TACOMA
179,98416,98416,53,Unique,9681.512261,4084771.556,Pierce County,TACOMA
180,98418,98418,53,Standard,27782.02681,46885764.12,Pierce County,TACOMA
181,98421,98421,53,Standard,121126.1499,180865484.6,Pierce County,TACOMA
182,98422,98422,33,Standard,18681.51696,1593000.05,King County,TACOMA
183,98422,98422,53,Standard,93055.17595,185729817.2,Pierce County,TACOMA
184,98424,98424,53,Standard,70301.3633,151535020.5,Pierce County,TACOMA
185,98430,98430,53,Standard,16682.29164,13323856.21,Pierce County,CAMP MURRAY
186,98433,98433,53,Standard,364517.8578,2980326384,Pierce County,TACOMA
187,98438,98438,53,Standard,74075.40399,179111621.2,Pierce County,TACOMA
188,98439,98439,53,Standard,31208.67469,32367051.31,Pierce County,LAKEWOOD
189,98443,98443,53,Standard,51842.22825,138725726.2,Pierce County,TACOMA
190,98444,98444,53,Standard,84939.78428,193899333.5,Pierce County,TACOMA
191,98445,98445,53,Standard,95666.14932,302059701,Pierce County,TACOMA
192,98446,98446,53,Standard,92261.28474,303052697,Pierce County,TACOMA
193,98447,98447,53,Unique,9413.065476,3176084.472,Pierce County,TACOMA
194,98465,98465,53,Standard,35511.7128,52783838.15,Pierce County,TACOMA
195,98466,98466,53,Standard,61175.88671,162812597.5,Pierce County,TACOMA
196,98467,98467,53,Standard,56520.87174,126466429.5,Pierce County,UNIVERSITY PLACE
197,98498,98498,53,Standard,94191.62982,271504227.4,Pierce County,LAKEWOOD
198,98499,98499,53,Standard,82258.83144,258668276.1,Pierce County,LAKEWOOD
199,98580,98580,53,Standard,234421.9064,1813778219,Pierce County,ROY
200,98826,98826,7,Standard,845445.5559,26179809172,Chelan County,LEAVENWORTH
201,98922,98922,37,Standard,871202.8402,17220076339,Kittitas County,CLE ELUM
202,98925,98925,37,Standard,513881.7556,5997914904,Kittitas County,EASTON
203,98926,98926,37,Standard,947568.8613,32490465848,Kittitas County,ELLENSBURG
204,98934,98934,37,PO Box,21908.69057,12289665.07,Kittitas County,KITTITAS
205,98940,98940,37,PO Box,465055.0655,5451150405,Kittitas County,RONALD
206,98941,98941,37,PO Box,128017.0698,357024286.2,Kittitas County,ROSLYN
207,98943,98943,37,PO Box,14265.71915,10064275.4,Kittitas County,SOUTH CLE ELUM
208,98946,98946,37,Standard,148179.5728,836663894.4,Kittitas County,THORP
209,98950,98950,37,PO Box,209701.3757,915724778.4,Kittitas County,VANTAGE
